日期,1月固定候选,在线候选,在线当日费用_元,历史窗口内各候选费用_JSON
2025-10-01,affine_saa_mpc,affine_saa_mpc,45743.06806726654,"[1073275.0834066265, 1344156.7982036935, 1096291.2880918907, 1333748.5654653765, 1056023.096586206, 1073319.6834805575]"
2025-10-02,affine_saa_mpc,affine_saa_mpc,44804.80279114753,"[1067446.5831345175, 1339912.2471864175, 1090978.2173557847, 1329442.3841604358, 1050744.1958246578, 1068046.0915083603]"
2025-10-03,affine_saa_mpc,affine_saa_mpc,14701.564454986637,"[1061280.9629693339, 1334462.5219851474, 1085319.2402601978, 1324204.2960816452, 1044975.6896539929, 1062316.710131195]"
2025-10-04,affine_saa_mpc,affine_saa_mpc,15924.121073400918,"[1055352.04489501, 1329524.6832822752, 1078112.3801506371, 1319334.0998303024, 1039031.1340426741, 1056382.0114790986]"
2025-10-05,affine_saa_mpc,affine_saa_mpc,43979.66774319885,"[1050206.095541875, 1324195.7712690637, 1072523.7298055678, 1314878.1039337758, 1033747.8697901043, 1051099.6456773612]"
2025-10-06,affine_saa_mpc,affine_saa_mpc,44998.98190599328,"[1044779.440521397, 1316691.4906557007, 1067239.9676693748, 1305630.0395354668, 1028387.3504808461, 1045745.9308616591]"
2025-10-07,affine_saa_mpc,affine_saa_mpc,44080.44211653561,"[1043032.5516593901, 1299678.8826724344, 1059408.6883648844, 1288581.9001319306, 1028410.1074956763, 1039204.9704094752]"
2025-10-08,affine_saa_mpc,affine_saa_mpc,40194.01924249725,"[1045239.3154055473, 1293410.501637692, 1060539.0742408447, 1282491.9377196454, 1030761.3502908067, 1041563.843192147]"
2025-10-09,affine_saa_mpc,affine_saa_mpc,40448.337270894175,"[1040217.1322938724, 1273097.2442007822, 1048321.9990462272, 1263763.517302249, 1020524.0159959141, 1026102.383279801]"
2025-10-10,affine_saa_mpc,affine_saa_mpc,13146.521154390575,"[1038547.9453694837, 1269664.0775538199, 1046944.4133409944, 1261036.5333220868, 1019080.0804270812, 1024765.1576563935]"
2025-10-11,affine_saa_mpc,affine_saa_mpc,13727.054036655289,"[1036522.6716149375, 1266393.4270606837, 1044823.3799753506, 1257361.515221637, 1017024.5593221888, 1022202.0619203696]"
