日期,1月固定候选,在线候选,在线当日费用_元,历史窗口内各候选费用_JSON
2025-08-04,affine_saa_mpc,affine_saa_mpc,50847.76135738782,"[1387711.484716637, 1517538.2518656154, 1409983.1412426701, 1522611.8799024664, 1382361.8458663728, 1386363.4437283408]"
2025-08-05,affine_saa_mpc,affine_saa_mpc,49416.02306394515,"[1381530.2982919377, 1501452.7264647207, 1402116.7158317927, 1502941.6227669413, 1379728.5304833974, 1381280.0280043615]"
2025-08-06,affine_saa_mpc,affine_saa_mpc,48609.11593721459,"[1373456.559133449, 1487761.987878558, 1391901.6280189317, 1487286.3305762233, 1369914.5720951322, 1371519.6186894625]"
2025-08-07,affine_saa_mpc,affine_saa_mpc,47963.162048402766,"[1365203.1889993544, 1487834.10677124, 1386771.350718905, 1485578.70503399, 1359689.856427242, 1362064.8721077105]"
2025-08-08,affine_saa_mpc,affine_saa_mpc,24418.87833263282,"[1355654.597308532, 1479902.5140847757, 1376626.9430509417, 1476105.0910917723, 1348417.4188638565, 1350808.4387962786]"
2025-08-09,affine_saa_mpc,affine_saa_mpc,23873.780303973166,"[1350286.5757106869, 1475179.4632364593, 1370132.592033355, 1470777.0758840311, 1342035.7546599188, 1344448.3818609193]"
2025-08-10,affine_saa_mpc,affine_saa_mpc,47083.998486438635,"[1344431.774599922, 1467879.7060402508, 1364221.501881109, 1462649.1521965542, 1335233.3399093924, 1337793.163702076]"
2025-08-11,affine_saa_mpc,affine_saa_mpc,47560.48089669954,"[1334137.1525938262, 1464169.8475381061, 1353808.9979512491, 1459055.5532132196, 1323165.271805896, 1325743.251971232]"
2025-08-12,affine_saa_mpc,affine_saa_mpc,48065.91224326806,"[1325890.5930859677, 1461051.8880272708, 1343818.9061230156, 1455377.2366713583, 1312525.447937213, 1315669.4304044747]"
2025-08-13,affine_saa_mpc,affine_saa_mpc,46887.571753364435,"[1319218.1252635662, 1461585.8206509328, 1337815.356018767, 1453375.6564725046, 1302376.5935690159, 1308228.277209772]"
2025-08-14,affine_saa_mpc,affine_saa_mpc,46776.01834775105,"[1311129.0008449191, 1452880.9429062882, 1329296.7226043006, 1441952.3093034246, 1291889.9796958435, 1298036.1288949172]"
2025-08-15,affine_saa_mpc,affine_saa_mpc,23821.115626932045,"[1302825.1113903455, 1445547.8857788565, 1320967.618799796, 1434845.0320909214, 1281371.8932479583, 1288014.9031436127]"
2025-08-16,affine_saa_mpc,affine_saa_mpc,23906.313769916993,"[1297373.7106794294, 1438523.355626143, 1315102.33234828, 1427941.468397969, 1274982.5691618195, 1282499.3188203727]"
2025-08-17,affine_saa_mpc,affine_saa_mpc,46790.29962831692,"[1291877.006452158, 1437156.7001609537, 1309426.4111817665, 1425397.0859699778, 1268554.8783559338, 1276695.8830015596]"
2025-08-18,affine_saa_mpc,affine_saa_mpc,46518.470356802616,"[1283903.7314453453, 1433961.2419421829, 1300260.4607394126, 1420858.1813436404, 1258344.8997049339, 1266854.8551741987]"
2025-08-19,affine_saa_mpc,affine_saa_mpc,46981.51180698757,"[1274629.2547105555, 1430982.0573445328, 1289949.0526998378, 1413971.5344058697, 1246709.217625598, 1255465.3618696488]"
2025-08-20,affine_saa_mpc,affine_saa_mpc,57578.49319502901,"[1266000.8004298767, 1420436.3631426133, 1279084.5089833257, 1404070.3654086455, 1236233.0717202553, 1245356.4156887985]"
2025-08-21,affine_saa_mpc,affine_saa_mpc,47156.64105425149,"[1259950.094370496, 1431030.4477888467, 1280526.7887440461, 1413872.7872891638, 1236008.6985393313, 1247285.0782765415]"
2025-08-22,affine_saa_mpc,affine_saa_mpc,24565.595376833295,"[1250926.1268659397, 1422912.177616197, 1270275.7164340795, 1404232.4873230099, 1225561.0554642715, 1236856.333254017]"
2025-08-23,affine_saa_mpc,affine_saa_mpc,24313.807549814886,"[1245958.5577066788, 1430039.5339786608, 1267672.2546074747, 1411009.7912360334, 1220287.149001152, 1232717.6545765158]"
2025-08-24,affine_saa_mpc,affine_saa_mpc,47768.30090687637,"[1240660.1332533534, 1429135.4760571308, 1261854.751861454, 1409011.878836013, 1214078.0676019243, 1226551.4844167056]"
2025-08-25,affine_saa_mpc,affine_saa_mpc,49033.16163712134,"[1232786.6082502436, 1420663.5376248688, 1250431.9924080162, 1398646.1198451982, 1204772.0161640127, 1216714.4128378327]"
2025-08-26,affine_saa_mpc,affine_saa_mpc,48402.34156444193,"[1225359.9940081644, 1415049.642973829, 1244663.442056405, 1391463.490579239, 1196656.9195375994, 1212380.1780246564]"
2025-08-27,affine_saa_mpc,affine_saa_mpc,48487.862362529915,"[1216899.4595331564, 1411220.3776305988, 1233411.046348118, 1384382.630957135, 1186557.9973652775, 1202348.6976301912]"
2025-08-28,affine_saa_mpc,affine_saa_mpc,50539.058158472384,"[1208735.035210978, 1407056.0587556309, 1224255.8498362869, 1380163.1369425745, 1176623.219586382, 1192436.4582518209]"
2025-08-29,affine_saa_mpc,affine_saa_mpc,25475.568196503802,"[1202393.2446993731, 1404324.7311067556, 1226066.8234231079, 1381300.9013831313, 1172322.4082215356, 1189210.165022764]"
2025-08-30,affine_saa_mpc,affine_saa_mpc,25183.890404240457,"[1201217.3692833998, 1403473.0374423235, 1225410.507831818, 1380376.4561325433, 1171220.8494022412, 1188122.8272253396]"
2025-08-31,affine_saa_mpc,affine_saa_mpc,49340.889486367654,"[1200194.9720293495, 1404657.5405458906, 1224774.9737349157, 1381635.3239259024, 1170190.331406383, 1187292.2046312294]"
2025-09-01,affine_saa_mpc,affine_saa_mpc,49098.45931728163,"[1196727.1195306801, 1404264.8958451638, 1220999.7965773288, 1382193.8859675857, 1167366.0238525167, 1183906.1177214978]"
2025-09-02,affine_saa_mpc,affine_saa_mpc,48724.34829685642,"[1195144.9715141114, 1400550.1173045316, 1219986.2501743967, 1380430.6949720557, 1165616.7218124105, 1182033.6770084354]"
2025-09-03,affine_saa_mpc,affine_saa_mpc,48467.75637589817,"[1194378.3206725519, 1401432.6176627344, 1219097.9260825496, 1380505.1121569122, 1164925.0470453217, 1181288.4531679803]"
2025-09-04,affine_saa_mpc,affine_saa_mpc,48873.9449905459,"[1193957.8595602019, 1389591.6633609976, 1213763.9951547494, 1368858.0616540485, 1164783.6874840057, 1180377.1245205258]"
